Manufacturer,Machine Model,Machinery Category,Engine Capacity (L),Engine Cylinders,Transmission Type,Fuel Category,Fuel Consumption (Load Condition) (L/100 hr),Fuel Consumption (No-Load Condition) (L/100 hr),Average Fuel Consumption (L/100 hr),Average Fuel Efficiency (hrg),CO2 Emissions (g/hr),CO2 Emissions Level
Mercedes Industrial Solutions,AGE+,Mid-Sized Utility Machines,4.0,8,A9,Z,16.0,10.5,13.5,21,318,high
Bauer Machinery Works,38_E,Compact Utility Equipment,2.0,4,A8,Z,10.6,7.2,9.1,31,209,medium
Porsche Engineering Works,MCNO,Small Utility Vehicle,3.6,6,A7,Z,14.2,10.1,12.3,23,287,high
Toyota Heavy Machinery,TNRA,Standard Transport Machinery,4.0,6,AS5,X,14.8,11.8,13.5,21,310,high
Nissan Machinery Ltd.,FOTR,Light-Duty Transport Machinery,2.5,4,A5,X,13.7,10.7,12.3,23,290,high
General Manufacturing Corporation,YKND,Standard Utility Vehicle,6.2,8,A8,Z,15.9,11.1,13.8,20,323,high
Ford Industrial Corp.,TASV,Specialized Industrial Machinery,2.0,4,AS8,E,13.7,11.1,12.5,23,208,medium
Ford Industrial Corp.,EG_D,Small Utility Vehicle,2.0,4,AS6,X,11.9,8.7,10.5,27,246,medium
Volkswaren Machine Systems,GLFF,Compact Utility Equipment,1.4,4,AS8,X,8.1,6.4,7.4,38,172,low
Porsche Engineering Works,91CA,Mini Utility Equipment,3.0,6,AM7,Z,10.6,8.0,9.4,30,221,medium
Ford Industrial Corp.,MSAE,Subcompact Utility Machinery,5.0,8,AS10,X,15.4,9.7,12.9,22,302,high
Aston Martin Technologies,RPDS,Subcompact Utility Machinery,6.0,12,A8,Z,16.8,10.9,14.2,20,332,high
Bauer Machinery Works,X_MM,Small Utility Vehicle,3.0,6,AS8,Z,16.6,12.1,14.6,19,339,high
Ford Industrial Corp.,F10V,Standard Transport Machinery,5.0,8,AS6,E,22.1,16.7,19.7,14,315,high
Lincoln Manufacturing,CNID,Heavy-Duty Utility Machinery,3.0,6,AS6,X,14.5,9.8,12.3,23,290,high
Ford Industrial Corp.,TASV,Specialized Industrial Machinery,2.5,4,AS6,E,16.8,12.0,14.6,19,240,medium
Mercedes Industrial Solutions,B200,Mid-Sized Utility Machines,2.0,4,AS7,Z,9.2,6.6,8.0,35,188,low
Volvo Industrial Solutions,S0T5,Mid-Sized Utility Machines,2.0,4,AS8,X,9.6,6.7,8.3,34,193,low
Chevrolet Engineering Works,TAED,Standard Utility Vehicle,3.6,6,A9,X,13.7,9.5,11.8,24,277,high
Buick Heavy Industries,ECAE,Standard Utility Vehicle,3.6,6,A6,X,15.7,10.6,13.4,21,315,high
Ford Industrial Corp.,CMXD,Heavy-Duty Utility Machinery,2.0,4,AV,X,5.7,6.2,5.9,48,138,very low
Mercedes Industrial Solutions,CA20,Compact Utility Equipment,2.0,4,AS7,Z,9.1,6.2,7.8,36,179,low
